County Code,County Name,District Name,District Code,School Code,School Name,City,School Level,Student Fall Enrollment,Total Days Possible,Total Days Attended,Total Student Days Excused Absence,Total Student Days Unexcused Absent,Attendance Rate,Truancy Rate
1,ADAMS,MAPLETON 1,10,187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,THORNTON,Senior,543,90077,82881.50,3849.00,3346.50,0.92,0.04
1,ADAMS,MAPLETON 1,10,212,MAPLETON EARLY COLLEGE HIGH SCHOOL,DENVER,Senior,174,29074,25860.00,875.50,2338.50,0.89,0.08
1,ADAMS,MAPLETON 1,10,263,GLOBAL LEADERSHIP ACADEMY,DENVER,Senior,447,74467,67345.00,4376.50,2745.50,0.90,0.04
1,ADAMS,MAPLETON 1,10,309,SKYVIEW ACADEMY HIGH SCHOOL,THORNTON,Senior,311,53242,46517.00,2700.00,4025.00,0.87,0.08
1,ADAMS,MAPLETON 1,10,501,MONTEREY COMMUNITY SCHOOL,DENVER,Elementary,385,65423,60893.00,3037.50,1492.50,0.93,0.02
1,ADAMS,MAPLETON 1,10,502,MEADOW COMMUNITY SCHOOL,THORNTON,Elementary,421,69551,64712.50,3374.00,1464.50,0.93,0.02
1,ADAMS,MAPLETON 1,10,503,YORK INTERNATIONAL,THORNTON,Senior,740,123014,115915.50,5397.00,1701.50,0.94,0.01
1,ADAMS,MAPLETON 1,10,504, WELBY MONTESSORI SCHOOL,DENVER,Elementary,299,50124,46940.00,2722.00,462.00,0.94,0.01
1,ADAMS,MAPLETON 1,10,505,ACHIEVE ACADEMY,THORNTON,Elementary,454,76105,71994.00,2399.50,1711.50,0.95,0.02
1,ADAMS,MAPLETON 1,10,506,EXPLORE ELEMENTARY,THORNTON,Elementary,360,59420,56194.50,2462.00,763.50,0.95,0.01
1,ADAMS,MAPLETON 1,10,507,ADVENTURE ELEMENTARY,DENVER,Elementary,364,61994,58306.50,2282.00,1405.50,0.94,0.02
1,ADAMS,MAPLETON 1,10,509,CLAYTON PARTNERSHIP SCHOOL,THORNTON,Elementary,434,72981,67121.50,4383.50,1476.00,0.92,0.02
1,ADAMS,MAPLETON 1,10,1796,COLORADO CONNECTIONS ACADEMY,ENGLEWOOD,Senior,1372,207767,200009.00,0.00,7758.00,0.96,0.04
1,ADAMS,MAPLETON 1,10,4699,THE NEW AMERICA SCHOOL,DENVER,Senior,439,49022,30984.00,4537.00,13501.00,0.63,0.28
1,ADAMS,MAPLETON 1,10,5539,MAPLETON EARLY LEARNING CENTER,DENVER,Elementary,334,52485,49777.00,1827.00,881.00,0.95,0.02
1,ADAMS,MAPLETON 1,10,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,THORNTON,Senior,83,13699,11723.50,359.00,1616.50,0.86,0.12
1,ADAMS,MAPLETON 1,10,9036,VALLEY VIEW K-8,DENVER,Elementary,474,79932,75491.00,3388.00,1052.50,0.94,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,14,GLACIER PEAK ELEMENTARY SCHOOL,BRIGHTON,Elementary,525,91477,86729.00,4179.00,568.70,0.95,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,15,ACADEMY OF CHARTER SCHOOLS,WESTMINSTER,Senior,1306,214960,205194.00,8398.20,1368.20,0.95,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,57,ROCKY TOP MIDDLE SCHOOL,THORNTON,Middle/Jr. High,1104,222612,213248.00,9109.70,254.30,0.96,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,59,MERIDIAN ELEMENTARY SCHOOL,BROOMFIELD,Elementary,653,106435,101782.00,4479.10,173.50,0.96,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,70,ADAMS12 FIVE STAR PRESCHOOL,THORNTON,Elementary,753,13629,13629.30,0.00,0.00,1.00,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,210,VANTAGE POINT,NORTHGLENN,Senior,489,35777,31466.00,2621.10,1690.20,0.88,0.05
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,WESTMINSTER,Elementary,635,106241,101314.00,4433.00,493.80,0.95,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,BRIGHTON,Elementary,2,36,36.20,0.00,0.00,1.00,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,1388,CENTENNIAL ELEMENTARY SCHOOL,BROOMFIELD,Elementary,479,73650,69278.00,3455.40,916.90,0.94,0.01
