"County_Code","County_Name","District_Name","District_Code","School_Code","School_Name","City","School_Level","Student_Fall_Enrollment","Total_Days_Possible","Total_Days_Attended","Total_Student_Days_Excused_Absence","Total_Student_Days_Unexcused_Absent","Attendance_Rate","Truancy_Rate"
1,"ADAMS","MAPLETON 1",1,193,"MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS","THORNTON","Senior",582,1619,1522,1064,811,31,5
1,"ADAMS","MAPLETON 1",1,258,"MAPLETON EARLY COLLEGE HIGH SCHOOL","DENVER","Senior",167,644,567,1597,574,28,9
1,"ADAMS","MAPLETON 1",1,382,"GLOBAL LEADERSHIP ACADEMY","DENVER","Senior",481,1369,1253,1195,689,29,5
1,"ADAMS","MAPLETON 1",1,475,"SKYVIEW ACADEMY HIGH SCHOOL","THORNTON","Senior",338,999,877,659,919,26,9
1,"ADAMS","MAPLETON 1",1,818,"MONTEREY COMMUNITY SCHOOL","DENVER","Elementary",417,1220,1145,782,290,32,3
1,"ADAMS","MAPLETON 1",1,822,"MEADOW COMMUNITY SCHOOL","THORNTON","Elementary",454,1284,1216,908,278,32,3
1,"ADAMS","MAPLETON 1",1,824,"YORK INTERNATIONAL","THORNTON","Senior",749,218,152,1350,374,33,2
1,"ADAMS","MAPLETON 1",1,827," WELBY MONTESSORI SCHOOL","DENVER","Elementary",324,948,885,670,995,33,2
1,"ADAMS","MAPLETON 1",1,831,"ACHIEVE ACADEMY","THORNTON","Elementary",489,1398,1343,527,380,34,3
1,"ADAMS","MAPLETON 1",1,834,"EXPLORE ELEMENTARY","THORNTON","Elementary",391,1106,1052,554,1272,34,2
1,"ADAMS","MAPLETON 1",1,836,"ADVENTURE ELEMENTARY","DENVER","Elementary",395,1156,1084,490,249,33,3
1,"ADAMS","MAPLETON 1",1,838,"CLAYTON PARTNERSHIP SCHOOL","THORNTON","Elementary",468,1342,1250,1198,282,31,3
1,"ADAMS","MAPLETON 1",1,177,"COLORADO CONNECTIONS ACADEMY","ENGLEWOOD","Senior",97,493,450,1,1278,35,5
1,"ADAMS","MAPLETON 1",1,764,"THE NEW AMERICA SCHOOL","DENVER","Senior",472,928,641,1226,226,6,27
1,"ADAMS","MAPLETON 1",1,930,"MAPLETON EARLY LEARNING CENTER","DENVER","Elementary",362,984,931,309,1373,34,3
1,"ADAMS","MAPLETON 1",1,1095,"NORTH VALLEY SCHOOL FOR YOUNG ADULTS","THORNTON","Senior",801,290,170,983,347,25,13
1,"ADAMS","MAPLETON 1",1,1634,"VALLEY VIEW K-8","DENVER","Elementary",509,1465,1396,913,50,33,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,93,"GLACIER PEAK ELEMENTARY SCHOOL","BRIGHTON","Elementary",563,1638,1581,1149,1097,34,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,113,"ACADEMY OF CHARTER SCHOOLS","WESTMINSTER","Senior",80,506,464,1576,237,34,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,960,"ROCKY TOP MIDDLE SCHOOL","THORNTON","Middle/Jr. High",36,525,480,1618,624,35,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1003,"MERIDIAN ELEMENTARY SCHOOL","BROOMFIELD","Elementary",684,77,22,1213,387,35,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1235,"ADAMS12 FIVE STAR PRESCHOOL","THORNTON","Elementary",757,287,259,1,1,39,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,256,"VANTAGE POINT","NORTHGLENN","Senior",523,743,646,625,365,27,6
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,457,"ARAPAHOE RIDGE ELEMENTARY SCHOOL","WESTMINSTER","Elementary",668,75,18,1205,1030,34,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,6,"BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL","BRIGHTON","Elementary",205,746,721,1,1,39,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,88,"CENTENNIAL ELEMENTARY SCHOOL","BROOMFIELD","Elementary",513,1353,1292,928,1397,33,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,110,"CENTURY MIDDLE SCHOOL","THORNTON","Middle/Jr. High",42,458,406,1632,107,34,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,121,"STARGATE CHARTER SCHOOL","THORNTON","Elementary",677,82,29,1185,1166,35,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,170,"COLORADO VIRTUAL ACADEMY (COVA)","NORTHGLENN","Senior",540,1632,1633,1,1,39,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,200,"CORONADO HILLS ELEMENTARY SCHOOL","THORNTON","Elementary",577,1568,1511,862,281,34,3
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,212,"COTTON CREEK ELEMENTARY SCHOOL","WESTMINSTER","Elementary",692,89,32,1254,448,34,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,220,"COYOTE RIDGE ELEMENTARY SCHOOL","BROOMFIELD","Elementary",605,1646,1603,787,1368,35,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,325,"EAGLEVIEW ELEMENTARY SCHOOL","THORNTON","Elementary",587,1585,1529,1141,369,34,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,338,"TARVER ELEMENTARY SCHOOL","THORNTON","Elementary",525,1640,1593,920,750,35,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,369,"CHERRY DRIVE ELEMENTARY SCHOOL","THORNTON","Elementary",546,1523,1480,768,962,35,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,370,"SKYVIEW ELEMENTARY SCHOOL","THORNTON","Elementary",562,1596,1536,1201,822,34,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,371,"HUNTERS GLEN ELEMENTARY SCHOOL","THORNTON","Elementary",705,48,1734,1319,1004,34,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,372,"ROCKY MOUNTAIN ELEMENTARY SCHOOL","WESTMINSTER","Elementary",529,1446,1383,943,42,33,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,373,"RIVERDALE ELEMENTARY SCHOOL","THORNTON","Elementary",471,1340,1280,1034,677,33,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,430,"FEDERAL HEIGHTS ELEMENTARY SCHOOL","DENVER","Elementary",669,231,181,675,838,34,4
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,637,"HILLCREST ELEMENTARY SCHOOL","NORTHGLENN","Elementary",526,1395,1330,937,48,33,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,657,"HORIZON HIGH SCHOOL","BRIGHTON","Senior",182,672,604,183,1413,31,4
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,667,"HULSTROM OPTIONS K-8 SCHOOL","NORTHGLENN","Elementary",744,275,235,905,726,36,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,671,"SILVER HILLS MIDDLE SCHOOL","NORTHGLENN","Middle/Jr. High",32,444,390,1633,495,33,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,828,"LEGACY HIGH SCHOOL","BROOMFIELD","Senior",211,739,696,71,1154,34,3
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,833,"LEROY DRIVE ELEMENTARY SCHOOL","NORTHGLENN","Elementary",506,1431,1364,948,89,33,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,912,"MALLEY DRIVE ELEMENTARY SCHOOL","NORTHGLENN","Elementary",460,1236,1167,653,104,33,3
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,964,"MC ELWAIN ELEMENTARY SCHOOL","THORNTON","Elementary",507,1527,1453,947,456,33,3
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,982,"THORNTON MIDDLE SCHOOL","THORNTON","Middle/Jr. High",703,188,105,1460,684,31,3
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,983,"THORNTON HIGH SCHOOL","THORNTON","Senior",172,659,561,246,692,24,10
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1039,"MOUNTAIN RANGE HIGH SCHOOL","WESTMINSTER","Senior",201,799,736,216,172,32,4
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1059,"MOUNTAIN VIEW ELEMENTARY SCHOOL","BROOMFIELD","Elementary",704,146,98,1111,1019,35,1
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1099,"SHADOW RIDGE MIDDLE SCHOOL","THORNTON","Middle/Jr. High",19,431,375,1604,550,33,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1103,"NORTH MOR ELEMENTARY SCHOOL","NORTHGLENN","Elementary",482,1311,1242,1045,51,32,2
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1111,"NORTH STAR ELEMENTARY SCHOOL","DENVER","Elementary",504,1518,1456,575,558,33,4
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1116,"NORTHGLENN MIDDLE SCHOOL","NORTHGLENN","Middle/Jr. High",754,250,183,1467,758,31,3
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1119,"NORTHGLENN HIGH SCHOOL","NORTHGLENN","Senior",166,654,581,157,352,29,7
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1206,"NIVER CREEK MIDDLE SCHOOL","DENVER","Middle/Jr. High",750,244,154,1426,1005,30,5
1,"ADAMS","ADAMS 12 FIVE STAR SCHOOLS",67,1273,"PRAIRIE HILLS ELEMENTARY SCHOOL","THORNTON","Elementary",574,1629,1576,1055,1009,34,2
